Average f1 score,Average precision,Average Recall
0.507613033876486,0.6096832682725072,0.43495543509698553
f1,precision,recall
0.9285714285714286,0.9285714285714286,0.9285714285714286
0.6666666666666666,0.6538461538461539,0.68
0.6086956521739131,0.6363636363636364,0.5833333333333334
0.49411764705882355,0.5526315789473685,0.44680851063829785
0.5098039215686274,0.5652173913043478,0.4642857142857143
0.5299145299145299,0.5961538461538461,0.47692307692307695
0.5972222222222221,0.6515151515151515,0.5512820512820513
0.588957055214724,0.6486486486486487,0.5393258426966292
0.5775401069518717,0.5869565217391305,0.5684210526315789
0.5560975609756098,0.59375,0.5229357798165137
0.5267857142857142,0.59,0.47580645161290325
0.5,0.5769230769230769,0.4411764705882353
0.5019011406844106,0.5892857142857143,0.4370860927152318
0.5300353356890459,0.6147540983606558,0.4658385093167702
0.52,0.6190476190476191,0.4482758620689655
0.5201238390092879,0.6,0.45901639344262296
0.5146198830409358,0.5827814569536424,0.4607329842931937
0.5205479452054793,0.5864197530864198,0.46798029556650245
0.516795865633075,0.591715976331361,0.45871559633027525
0.5145631067961165,0.5921787709497207,0.45493562231759654
0.4988235294117648,0.5760869565217391,0.43983402489626555
0.509090909090909,0.5833333333333334,0.45161290322580644
0.5043103448275862,0.5763546798029556,0.4482758620689655
0.5311871227364185,0.6,0.47653429602888087
0.5242718446601942,0.5844155844155844,0.4753521126760563
0.5235404896421846,0.5840336134453782,0.47440273037542663
0.5100182149362478,0.5809128630705395,0.45454545454545453
0.5087108013937283,0.5887096774193549,0.44785276073619634
0.5125628140703518,0.5907335907335908,0.4526627218934911
0.5238095238095237,0.6066176470588235,0.46089385474860334
0.5168195718654435,0.6101083032490975,0.4482758620689655
0.5132743362831859,0.6105263157894737,0.44274809160305345
0.5130434782608695,0.6124567474048442,0.44139650872817954
0.5147679324894514,0.6120401337792643,0.4441747572815534
0.5096952908587258,0.6072607260726073,0.43914081145584727
0.5179282868525896,0.6151419558359621,0.44724770642201833
0.5148771021992238,0.6180124223602484,0.44124168514412415
0.5162907268170426,0.6242424242424243,0.44017094017094016
0.524630541871921,0.6320474777448071,0.44842105263157894
0.5275779376498801,0.6376811594202898,0.4498977505112474
0.5210280373831777,0.6353276353276354,0.4415841584158416
0.5132336018411968,0.6281690140845071,0.433852140077821
0.5202702702702702,0.6346153846153846,0.44083969465648853
0.5244444444444444,0.6395663956639567,0.4444444444444444
0.5331882480957563,0.6481481481481481,0.45286506469500926
0.5333333333333333,0.6511627906976745,0.45161290322580644
